Flag,Time,Tweet,Source,Link,nTweets_in_Cluster,nSource,BestSim,AveSim,nFeatures,nClusters
0,"('2015-08-07 02:40:01',)","He's signing off after 16 years of hosting @TheDailyShow. Jon Stewart, in his own words:  ",cnn,http://t.co/IQf9CF3TSj,3,3,0.633141733,0.623807471,15,12
0,"('2015-08-07 02:50:41',)",NY Sen. @chuckschumer announced he will oppose President @BarackObama's nuclear deal with Iran  ,cnn,http://t.co/vuuVoApxZM,2,2,0.710296634,0.70990776,13,10
0,"('2015-08-07 03:01:05',)","Jon Stewart hosts ""The Daily Show"" one last time:  #JonVoyage ",abc,http://t.co/PSwUNhdm2x,3,3,0.671766661,0.633019017,12,9
0,"('2015-08-07 03:11:40',)","Trump on Pres. Obama: ""I would say he's incompetent, but...that's not nice."" #GOPDebate  ",abc,http://t.co/upQLvFp42e,3,2,0.999723251,0.992859729,14,10
0,"('2015-08-07 03:21:23',)",Feels good to be back 🚊 #tubestrike  ,thetimes,http://t.co/c5W2UAAZk8,4,3,0.571560122,0.549801282,11,8
0,"('2015-08-07 05:02:43',)",Feels good to be back 🚊 #tubestrike  ,thetimes,http://t.co/c5W2UAAZk8,4,3,0.573332601,0.549328333,10,7
0,"('2015-08-07 07:00:09',)",High diving champion takes 9-story high victory dive -- with camera in hand:  ,abc,http://t.co/XohTjLZHkE,3,3,0.619644295,0.605362302,11,9
0,"('2015-08-07 09:01:03',)","Amazon pilot episode ""Sneaky Pete"" spins sneaky lies to win your vote  ",cnet,http://t.co/oEDEBLKeOM,5,3,0.560760189,0.438749587,11,8
0,"('2015-08-07 11:03:00',)",'Resistance is futile': Streaming TV is the future  ,cnet,http://t.co/76BRZ1vuv9,4,2,0.7293596,0.577123083,12,10
0,"('2015-08-07 11:10:00',)",Here are the first details for World of Warcraft's next big expansion  ,cnet,http://t.co/Ss0egfDOHU,3,2,0.960621287,0.913855431,18,14
0,"('2015-08-07 11:20:50',)",Live: Root falls after sparkling century  ,thetimes,http://t.co/rvr4tHGa8m,4,2,0.544718012,0.518782971,17,13
0,"('2015-08-07 11:30:41',)","Jenson Button and wife gassed in £300,000 holiday villa burglary  ",thetimes,http://t.co/227wsiO989,5,2,0.546577379,0.50547245,17,13
0,"('2015-08-07 11:37:00',)",RT @journalismnews: 5 free video editing apps for journalists #mojo  ,reutersagency,https://t.co/QJAZVXlWhB,4,2,0.568950809,0.542116456,18,14
0,"('2015-08-07 11:45:00',)",Lord Janner ordered to appear in court over abuse claims  ,thetimes,http://t.co/3HNjy87FaG,3,1,0.584157164,0.568238701,18,13
0,"('2015-08-07 11:50:04',)",".@uscoastguard seizes 12,000 pounds of cocaine, worth an estimated $181 million, from sub:  ",cnn,http://t.co/5envOT7YxG,3,3,0.620410523,0.614321922,20,15
0,"('2015-08-07 12:00:01',)","Imagine a haunted Ikea store. It's what's behind the ""Horrorstör"" show being assembled by Fox  ",cnet,http://t.co/onx9Ktro68,3,3,0.620749417,0.618417853,20,15
0,"('2015-08-07 14:01:05',)","Jenson Button and wife gassed in £300,000 holiday villa burglary  ",thetimes,http://t.co/227wsiO989,3,2,0.597118692,0.585376932,22,17
0,"('2015-08-07 14:11:44',)",RT @AJENews: Developing: Syrian fighters trained by the United States are now refusing to fight  ,ajenglish,http://t.co/SMkGmcvDOy,4,3,0.544914865,0.536258512,30,22
0,"('2015-08-07 14:21:37',)",Bulking up with protein drinks to be classed as an eating disorder  ,thetimes,http://t.co/seTyV5gc6E,4,3,0.574604187,0.539062468,28,20
0,"('2015-08-07 14:23:56',)",Bulking up with protein drinks to be classed as an eating disorder  ,thetimes,http://t.co/seTyV5gc6E,4,4,0.592708269,0.543315085,29,21
0,"('2015-08-07 14:32:43',)",Bulking up with protein drinks to be classed as an eating disorder  ,thetimes,http://t.co/seTyV5gc6E,6,6,0.484760997,0.446861809,28,20
0,"('2015-08-07 14:40:37',)",Smoke from 23 fires raging throughout California is visible from space:  ,abc,http://t.co/Oop3d0CdiX,7,5,0.475341988,0.403640196,29,21
0,"('2015-08-07 14:45:13',)",Verizon kills off service contracts and smartphone subsidies  ,cnet,http://t.co/EG68UeB5dB,6,3,0.468602639,0.43930855,30,22
0,"('2015-08-07 16:45:59',)",Verizon kills off service contracts and smartphone subsidies  ,cnet,http://t.co/EG68UeB5dB,5,4,0.495389313,0.459556533,29,22
0,"('2015-08-07 16:55:40',)","RT @CNNMoney: Fox's GOP debate watched by 24 million viewers, Nielsen numbers show. It was the highest rated primary debate ever. ",cnn,http://t.…,6,4,0.462312935,0.44257972,28,20
0,"('2015-08-07 17:06:24',)","This photo collection probes the world of the '1%', and where poverty and wealth meet:  ",abc,http://t.co/qBB3xI9vJG,5,4,0.506622152,0.48355353,29,20
0,"('2015-08-07 19:05:03',)",RT @AJE_Sport: Murderball makes its Parapan Am debut  ,ajenglish,http://t.co/NtuYglkh4W,4,4,0.536639669,0.527072003,28,19
0,"('2015-08-07 19:15:08',)",Be very afraid: Tesla unveils its ‘Snakebot’ recharger  ,sfgate,http://t.co/RmtcupVSY3,6,4,0.476248989,0.459818963,24,18
0,"('2015-08-07 19:25:07',)","RT @cnnbrk: Typhoon Soudelor, this year's strongest storm so far, has made landfall in Taiwan.  ",cnn,http://t.co/RU3fKrxEBZ,5,4,0.541562639,0.507176686,23,17
0,"('2015-08-07 19:35:03',)",Rick Stein: how jealousy and fear ended my marriage  ,thetimes,http://t.co/O61EskbVVh,4,3,0.536335364,0.530555269,26,19
0,"('2015-08-07 19:45:07',)","EPA accidentally releases toxic wastewater into Colorado river, turning it orange:  ",abc,http://t.co/x9O3yXStvT,6,4,0.475032355,0.454109814,27,19
0,"('2015-08-07 19:55:05',)","EPA accidentally releases toxic wastewater into Colorado river, turning it orange:  ",abc,http://t.co/x9O3yXStvT,7,5,0.445312059,0.42345262,24,17
0,"('2015-08-07 20:05:22',)","Meet #BlackLivesMatter co-founders @opalayo, @osope, @aliciagarza. It's more than a hashtag:  ",cnn,http://t.co/dAcUgVPE9r,6,4,0.479428969,0.450762304,25,17
0,"('2015-08-07 20:10:32',)",Lincoln Continental's 30-way power seats go modular to fit your cheeks  ,cnet,http://t.co/acs3i9rOPw,8,5,0.428207331,0.390942851,26,18
0,"('2015-08-07 22:05:07',)",Lincoln Continental's 30-way power seats go modular to fit your cheeks  ,cnet,http://t.co/acs3i9rOPw,5,3,0.511071918,0.498215994,24,17
0,"('2015-08-07 22:15:44',)","Homeless man shot after saving teen girl being kicked, punched by ex-boyfriend:  ",abc,http://t.co/RLjaRV7xum,4,3,0.512270865,0.508095361,22,18
0,"('2015-08-07 22:25:05',)","Homeless man shot after saving teen girl being kicked, punched by ex-boyfriend:  ",abc,http://t.co/RLjaRV7xum,4,4,0.53822853,0.515336426,22,18
0,"('2015-08-07 22:34:23',)","“God told me to work to get Cosmo out of the hands of children, so that’s what I am doing.""  ",thetimes,http://t.co/QKfMO41Ewy,3,3,0.679339573,0.628560768,20,17
0,"('2015-08-07 22:45:02',)","Homeless man shot after saving teen girl being kicked, punched by ex-boyfriend:  ",abc,http://t.co/RLjaRV7xum,3,3,0.598499269,0.58503858,22,18
0,"('2015-08-07 22:54:43',)","“God told me to work to get Cosmo out of the hands of children, so that’s what I am doing.""  ",thetimes,http://t.co/QKfMO41Ewy,4,4,0.602332131,0.55966459,21,17
0,"('2015-08-07 23:05:02',)","Firefox users, here's a security flaw you'll need to fix  ",cnet,http://t.co/Tv3yLgQ5Ci,5,4,0.528523364,0.50509402,20,16
0,"('2015-08-07 23:11:07',)",US-trained Syrian fighters refusing to fight  ,ajenglish,http://t.co/MTbdSwDn8W,3,3,0.673400446,0.62261004,20,16
0,"('2015-08-07 23:20:00',)","Robert Crampton on how a suntan is earned, not bought:  ",thetimes,http://t.co/uTxqxsocEu,5,4,0.572691029,0.51789918,19,15
0,"('2015-08-07 23:28:06',)","Firefox users, here's a security flaw you'll need to fix  ",cnet,http://t.co/Tv3yLgQ5Ci,5,4,0.549045059,0.499182543,18,13
0,"('2015-08-07 23:38:45',)",US-trained Syrian fighters refusing to fight  ,ajenglish,http://t.co/MTbdSwDn8W,4,3,0.600949104,0.554818783,16,12
0,"('2015-08-07 23:45:02',)",Map of Life: A phone app that helps track wildlife  ,ajenglish,http://t.co/ptCLmgRgko,3,3,0.577627392,0.576585001,16,12
0,"('2015-08-08 01:40:07',)",911 dispatcher on leave after telling distressed caller no ambulances available:  ,abc,http://t.co/pNTV6BIvgT,5,3,0.61051237,0.482854089,16,11
0,"('2015-08-08 03:35:20',)","Breakdown of the nearly 250,000 killed in Syrian war  ",ajenglish,http://t.co/OzjfMNe2DF,3,2,0.586183999,0.565105799,13,9
0,"('2015-08-08 05:34:50',)",Sonny Gray outpitches Dallas Keuchel as Oakland #Athletics top Astros  ,sfgate,http://t.co/iP4VfknjId,4,4,0.590765962,0.52322867,8,5
0,"('2015-08-08 05:40:04',)",Kabul's deadliest day in 2015  ,ajenglish,http://t.co/sL8oM3dEeT,3,2,0.948680905,0.911691394,6,4
0,"('2015-08-08 05:50:50',)","Typhoon threatens China after 8 dead, missing in Taiwan: ",abc,http://t.co/8FDJpZOukP,4,3,0.91130015,0.629229614,5,3
0,"('2015-08-08 06:00:06',)","Typhoon threatens China after 8 dead, missing in Taiwan: ",abc,http://t.co/8FDJpZOukP,3,2,0.628708747,0.574286988,5,3
0,"('2015-08-08 07:31:36',)",Read our interview with Jane Gottschalk the powerhouse behind coconut water (@JaxCocoGlobal)  ,thetimes,http://t.co/lsd2q0ZCW1,3,2,0.931848086,0.805534724,4,2
0,"('2015-08-08 09:30:01',)",Lawsuit alleges Bobbi Kristina Brown's boyfriend gave her 'toxic cocktail': ,cnn,http://t.co/izUGlVPNUv,3,3,0.646803354,0.598460896,5,3
0,"('2015-08-08 11:30:07',)",Weekend inspiration: our Great British Coast Guide  ,thetimes,http://t.co/83Rd047grG,3,3,0.648890489,0.628189529,9,6
0,"('2015-08-08 11:34:57',)",RT @WaitWhat_TV: saw this story on @sfgate about something called #Snakebot and thought it was a new @SyFyTV movie. Maybe it should be ,sfgate,,4,4,0.517168646,0.497562333,15,11
0,"('2015-08-08 13:35:29',)","One of many events at the annual Pierogi Fest in Whiting, Ind.: A buttered pierogi toss.  ",wsj,http://t.co/VXuFvLyO6Z,4,3,0.550295981,0.512728726,15,10
0,"('2015-08-08 13:45:26',)",RT @CNNMoney: As if hackers needed any more help. Now they can even turn your washing machine into a conduit  ,cnn,http://t.co/FTDOrOTS7w,6,5,0.471106807,0.460272823,21,15
0,"('2015-08-08 13:49:10',)",Microsoft Xbox One is a great gaming deal that's tough to beat: Our updated review  ,cnet,http://t.co/kVeTvSu1GC,6,4,0.502151141,0.46929697,20,14
0,"('2015-08-08 14:00:02',)",'If Ted Heath was a child abuser then I’m an aardvark'  ,thetimes,http://t.co/HsdIIsGZx4,5,4,0.52024778,0.501010244,20,14
0,"('2015-08-08 14:10:03',)",'If Ted Heath was a child abuser then I’m an aardvark'  ,thetimes,http://t.co/HsdIIsGZx4,6,4,0.487390149,0.458117023,20,14
0,"('2015-08-08 14:20:04',)",'If Ted Heath was a child abuser then I’m an aardvark'  ,thetimes,http://t.co/HsdIIsGZx4,4,3,0.604221932,0.56585892,18,13
0,"('2015-08-08 14:30:01',)",Breaking: Warren Buffett's Berkshire Hathaway nears deal to buy Precision Castparts  ,wsj,http://t.co/B078wFgp8Y,5,4,0.561483227,0.522442427,18,13
0,"('2015-08-08 14:34:01',)",Dogs to be used in NHS prostate cancer trial  ,thetimes,http://t.co/0U5srOb9OC,7,4,0.448365934,0.430291118,24,16
0,"('2015-08-08 14:45:00',)",Dogs to be used in NHS prostate cancer trial  ,thetimes,http://t.co/0U5srOb9OC,7,4,0.449494123,0.430573862,23,15
0,"('2015-08-08 14:51:41',)",Dogs to be used in NHS prostate cancer trial  ,thetimes,http://t.co/0U5srOb9OC,6,4,0.471245051,0.457451864,21,15
0,"('2015-08-08 15:00:30',)",Dogs to be used in NHS prostate cancer trial  ,thetimes,http://t.co/0U5srOb9OC,7,4,0.44744761,0.426110925,20,13
0,"('2015-08-08 15:04:56',)",100 Christians kidnapped by Islamic State militants  ,thetimes,http://t.co/Btez6efaPW,7,4,0.458965737,0.435468875,21,14
0,"('2015-08-08 15:15:00',)",Dogs to be used in NHS prostate cancer trial  ,thetimes,http://t.co/0U5srOb9OC,5,4,0.489387415,0.483499768,21,14
0,"('2015-08-08 17:16:19',)",RT @CNNOriginals: #JoinTheHunt tomorrow night for a spiritual leader convicted of abusing followers' children.  ,cnn,http://t.co/9UFSA5t3Le,5,4,0.529203446,0.502556661,22,15
0,"('2015-08-08 17:24:57',)",RT @Mullin_Around: Ick. Look what wastewater from a shuttered Colorado gold mine did to this river  ,sfgate,http://t.co/cMhKmAjaBy,5,4,0.46537123,0.442415832,24,17
0,"('2015-08-08 17:35:04',)",U.S. investigates report of Iranian’s Russian trip ,wsj,http://t.co/hHSfOOl0tQ,4,4,0.564576035,0.5361896,26,18
0,"('2015-08-08 17:45:00',)",The next decade will see stunning advancements in telescope technology  ,cnet,http://t.co/mTl4Fv19aJ,4,4,0.557707815,0.518811673,26,18
0,"('2015-08-08 17:51:35',)",Do you keep your phone in the bathroom while showering? Find out why you're doing it all wrong  ,cnet,http://t.co/GvrofMip96,5,3,0.579879382,0.519548909,26,19
0,"('2015-08-08 18:00:14',)",U.S. investigates report of Iranian’s Russian trip ,wsj,http://t.co/hHSfOOl0tQ,4,4,0.556594439,0.512798699,23,18
0,"('2015-08-08 18:04:02',)",Hackers target 2.4 million Carphone Warehouse customers  ,thetimes,http://t.co/NLeapLgKnr,3,3,0.605050122,0.585641852,25,19
0,"('2015-08-08 20:03:41',)",The next decade will see stunning advancements in telescope technology  ,cnet,http://t.co/mTl4Fv19aJ,7,4,0.468833375,0.410846008,25,18
0,"('2015-08-08 20:11:59',)","CNN TV - LIVE 6p ET: @PoppyHarlowCNN interview with ""fired/quit"" Trump adviser Roger Stone.  ",cnn,http://t.co/i3idwjfB15,4,3,0.996600682,0.955171785,21,16
0,"('2015-08-08 20:20:05',)",The 4-mile-tall pyramid mountain on dwarf planet Ceres is glowing  ,cnet,http://t.co/hJqMeCTAHK,4,4,0.576189789,0.553571328,19,14
0,"('2015-08-08 20:27:08',)",Five great American road trips for art lovers:  ,wsj,http://t.co/OBsMzaOpQT,4,4,0.617535218,0.590996851,18,14
0,"('2015-08-08 20:33:10',)",Oxford under fire for taking pro-hunting cash  ,thetimes,http://t.co/Bf1WVXpr7t,3,3,0.592550857,0.583217372,16,12
0,"('2015-08-08 20:43:10',)",Rick Stein: how jealousy and fear ended my marriage  ,thetimes,http://t.co/ezONc39GSy,4,4,0.640239469,0.614409943,16,12
0,"('2015-08-08 20:46:32',)",Rick Stein: how jealousy and fear ended my marriage  ,thetimes,http://t.co/ezONc39GSy,3,3,0.798794385,0.713754155,14,10
0,"('2015-08-08 20:57:07',)",Rick Stein: how jealousy and fear ended my marriage  ,thetimes,http://t.co/ezONc39GSy,4,4,0.743017411,0.671255197,13,10
0,"('2015-08-08 21:05:06',)",Oxford under fire for taking pro-hunting cash  ,thetimes,http://t.co/Bf1WVXpr7t,3,2,0.616581151,0.592429905,13,10
0,"('2015-08-08 21:15:00',)",2016 GOP field weighs in on @realDonaldTrump’s ‘blood’ comment about @MegynKelly.    ,cnn,http://t.co/QKqne4v07c,3,3,0.64874084,0.611774236,13,10
0,"('2015-08-08 21:18:10',)","Braylon Beam, a @Panthers​ fan, has been battling cancer since Feb. On Friday night, the 6-year-old was the coach: ",usatoday,http://t.co/4oCbc2QKbK,3,3,0.856512911,0.692427982,14,10
0,"('2015-08-08 21:28:23',)",Bernal Heights annual mega-sale brings in lots of visitors  ,sfgate,http://t.co/fNiCoRZU1l,3,3,0.717379624,0.67405506,14,10
0,"('2015-08-08 21:30:01',)",Warren Buffett may bet on aerospace boom to lift a Precision Castparts deal ,wsj,http://t.co/udxa7fviOD,3,3,0.693979408,0.647910413,15,11
0,"('2015-08-08 21:40:05',)",2016 GOP field weighs in on @realDonaldTrump’s ‘blood’ comment about @MegynKelly.    ,cnn,http://t.co/QKqne4v07c,3,2,0.647636181,0.603693116,15,10
0,"('2015-08-08 21:48:57',)","With the oldest of Gen Xers turning 50, here are some things they should do, today, for retirement: ",usatoday,http://t.co/CYYz3oXXa4,4,4,0.572495055,0.543828441,16,11
0,"('2015-08-08 21:57:45',)","RT @LindaDono: Yorkshire terrier sniffed out her heart problem, New York woman says,  via @ijsgdave ",usatoday,http://t.co/GYAiwnjxuR,3,3,0.990287513,0.770400627,14,11
0,"('2015-08-08 22:02:05',)","RT @LindaDono: Yorkshire terrier sniffed out her heart problem, New York woman says,  via @ijsgdave ",usatoday,http://t.co/GYAiwnjxuR,3,3,0.918254975,0.771512659,14,11
0,"('2015-08-09 00:01:44',)",CNET First Look: Slimline Marantz NR1506 receiver piles on features and performance  ,cnet,http://t.co/Yl1aeeiRsV,5,4,0.604546561,0.484555871,14,10
0,"('2015-08-09 00:11:03',)",Online survey finds that 88% of adults have sexted. ,cnn,http://t.co/DwCdrDuKaC,3,3,0.580295243,0.577133769,16,11
0,"('2015-08-09 00:21:48',)",".@MileyCyrus: ""People need more conventional role models, I guess. But I just don’t care to be that person."" ",usatoday,http://t.co/6McnURskXf,4,3,0.572498441,0.560647003,18,12
0,"('2015-08-09 00:30:07',)",Inside Story: Can the success story of Singapore be replicated?  ,ajenglish,http://t.co/iQRXKrXaCX,6,3,0.48480572,0.44068092,15,10
0,"('2015-08-09 02:32:04',)","Who fired who? Donald Trump, campaign adviser part ways  ",sfgate,http://t.co/UxJSFY18TE,3,3,0.65281123,0.633924161,14,10
0,"('2015-08-09 04:30:02',)","Embrace the force of galactic gaudiness with this gloriously tacky ""Star Wars"" lightsaber lamp  ",cnet,http://t.co/RLAv6NURwh,4,3,0.776738054,0.619100018,10,6
0,"('2015-08-09 05:55:26',)","Watch the first full-length ""Deadpool"" trailer right now  ",cnet,http://t.co/GHPYJwPg4o,4,3,0.605493183,0.425865279,7,4
0,"('2015-08-09 07:53:02',)","The voters spoke, but this German politician didn’t listen ",wsj,http://t.co/iNwlHqVBpy,4,3,0.664731249,0.47552944,8,6
0,"('2015-08-09 08:00:05',)","RT @mehdirhasan: If you enjoyed the clip, here's my full interview with Prof Sir Paul Collier on immigration:
 
[Geo-…",ajenglish,http://t.co/FTRojH99Xo,5,4,0.716377971,0.591335889,10,7
0,"('2015-08-09 10:00:02',)",Want to get secret off-menu food and drinks from high-street restaurants? Here's how:  ,msnuk,http://t.co/D2DzElAe4s,3,3,0.590921445,0.560848206,12,8
0,"('2015-08-09 10:04:07',)","Four men, one yearslong food odyssey ",wsj,http://t.co/2voBciqEBk,3,2,0.601272685,0.586768511,11,8
0,"('2015-08-09 12:03:18',)",RT @itsjoesutton: Eight bodies found in Houston home after standoff with suspect -  ,cnn,http://t.co/IZsauNMQJB,3,3,0.977917745,0.903962842,11,8
0,"('2015-08-09 12:06:07',)",Stay active well beyond middle age with these tips from leading fitness trainer Joe Friel  ,thetimes,http://t.co/PLANIaQ5AN,5,4,0.518719452,0.506351585,19,13
0,"('2015-08-09 14:00:02',)",Stay active well beyond middle age with these tips from leading fitness trainer Joe Friel  ,thetimes,http://t.co/PLANIaQ5AN,5,4,0.519977562,0.507101049,19,13
0,"('2015-08-09 16:01:03',)","RT @briantruitt: Tom Cruise cruises, #FantasticFour fizzles at the weekend box office  ",usatoday,http://t.co/6gFn1hzVIg,6,5,0.474465582,0.441704245,22,14
0,"('2015-08-09 16:11:52',)",Are you following us on Instagram yet?  ,sfgate,https://t.co/TnGwCJH4mm,3,3,0.601476034,0.589166045,14,11
0,"('2015-08-09 16:20:02',)",A man found dead in Yellowstone National Park was attacked by a grizzly bear  ,sfgate,http://t.co/xAThxz4pLb,3,2,0.956403294,0.899936299,13,11
0,"('2015-08-09 16:25:30',)",A man found dead in Yellowstone National Park was attacked by a grizzly bear  ,sfgate,http://t.co/xAThxz4pLb,3,2,0.951877292,0.89106596,15,11
0,"('2015-08-09 16:35:12',)",The International Space Station steps into the moonlight in extraordinary NASA photo  ,cnet,http://t.co/j5bzIpqJuQ,4,4,0.537332384,0.504992521,12,9
0,"('2015-08-09 16:45:07',)",The International Space Station steps into the moonlight in extraordinary NASA photo  ,cnet,http://t.co/j5bzIpqJuQ,3,3,0.661637275,0.638523508,17,12
0,"('2015-08-09 16:55:05',)",Donald Trump fire back over Megyn Kelly ‘blood’ comments: ‘I cherish women’  ,sfgate,http://t.co/Eop6LfJMp4,5,3,0.573360794,0.431387779,15,11
0,"('2015-08-09 17:01:04',)",These images of the star-smeared sky aren't what you think  ,cnet,http://t.co/0tYsp4i4OA,4,3,0.527081559,0.504600752,16,11
0,"('2015-08-09 17:10:05',)",Alligator captured after biting off part of woman's arm as she swam in central Florida river: ,abc,http://t.co/1as1YxVgN7,6,4,0.494526234,0.470974902,17,11
0,"('2015-08-09 19:08:40',)","RT @cnnbrk: Ex-NFLer and sportscaster Frank Gifford has died, his family says.  ",cnn,http://t.co/o6S0jzimAe.,7,6,0.47015565,0.451662352,17,10
0,"('2015-08-09 19:14:47',)",Mitigate? Stymie? Take the ‘True Detective’ vocabulary quiz:  ,wsj,http://t.co/ITTO2o6L3J,3,3,0.627874815,0.604546506,21,16
0,"('2015-08-09 19:23:03',)",This inflatable space elevator just got a lift  ,cnet,http://t.co/iGjwuH1Jjm,3,3,0.606808118,0.595410228,19,15
0,"('2015-08-09 19:34:02',)",Bill Murray ain't afraid of no reboot; set to appear in new #Ghostbusters  ,cnn,http://t.co/VEUqltVe3f,4,3,0.598258247,0.542041152,20,15
0,"('2015-08-09 19:40:25',)",Bill Murray ain't afraid of no reboot; set to appear in new #Ghostbusters  ,cnn,http://t.co/VEUqltVe3f,6,6,0.49674446,0.437474496,21,15
0,"('2015-08-09 21:40:52',)","RT @AJENews: Syria's Alawites are angry over the killing of an officer by Assad's cousin
  ",ajenglish,http://t.co/T6cBNTq2le,5,4,0.511672571,0.463892111,21,15
0,"('2015-08-09 21:45:36',)",No major incidents as Haiti holds long-overdue polls  ,ajenglish,http://t.co/JAvIA2GtXH,6,4,0.480250985,0.458339152,22,15
0,"('2015-08-09 23:41:37',)",Special delivery: A drone dropped a bundle of drugs into a prison yard  ,cnet,http://t.co/NqlMvQbP53,6,5,0.482502227,0.460727733,20,14
0,"('2015-08-09 23:50:49',)",Pakistan stumbles upon its 'biggest' child sex scandal  ,ajenglish,http://t.co/DmkJrQqz0g,3,3,0.635086201,0.619101716,18,13
0,"('2015-08-10 00:01:02',)",Kurds reject calls to rein in militants  ,thetimes,http://t.co/7VUF6iiV41,5,4,0.51894733,0.470528813,18,12
0,"('2015-08-10 02:00:05',)","Warren Buffett’s latest target, Precision Castparts, is led by a dealmaker ",wsj,http://t.co/yBDNqBwrZU,5,4,0.5338941,0.501587156,19,13
0,"('2015-08-10 02:10:06',)",Analysis: Gulf nations go on a military spending spree  ,ajenglish,http://t.co/zqhbQZNUXy,3,2,0.944377958,0.898656834,23,19
0,"('2015-08-10 02:20:29',)",Alawites rally after 'Assad's cousin killed officer'  ,ajenglish,http://t.co/e395PZZUzI,4,3,0.797584823,0.65250492,21,17
0,"('2015-08-10 02:27:06',)",Here's what happens if you go without food  ,cnet,http://t.co/sNtWPg05d8,3,3,0.987454756,0.810840411,19,16
0,"('2015-08-10 02:35:06',)","A's Barry Zito placed on DL with Triple-A team: 
 ",sfgate,http://t.co/heLDuYFOhp,3,2,0.674873701,0.616041968,21,17
0,"('2015-08-10 04:31:08',)",RT @CNNPolitics: Chuck Schumer opposes the #IranDeal. Does it matter?  | via @deirdrewalshcnn,cnn,http://t.co/DA2Vw2h29S,7,4,0.557963545,0.414010622,22,17
0,"('2015-08-10 04:41:46',)",South Korea blames North for mine blast that maimed soldiers  ,wsj,http://t.co/OAhoM8XfVZ,6,4,0.483515108,0.456374506,22,17
0,"('2015-08-10 04:51:27',)","Mother and father sacrifice themselves to save the life of their son on desert hike
 ",thetimes,http://t.co/lW6DNE87S3,4,3,0.551035939,0.524122149,21,16
0,"('2015-08-10 05:02:20',)",The huge differences between U.S. and U.K. maternity leave  ,wsj,http://t.co/mIEvBOC83a,5,4,0.466623985,0.45839043,20,16
0,"('2015-08-10 05:05:37',)",South Korea blames North for mine blast that maimed soldiers  ,wsj,http://t.co/OAhoM8XfVZ,3,2,0.629995249,0.614634093,16,13
